MONTHYEAR,MONTH,YEAR,CATEGORY,COUNT,Month_YOY_Percent_Change,Count YTD,YTD_Percent_Change,MonthOrder
February 2019,February,2019,Major Violent Crime,545,-5.22,1270,-4.44,2
March 2019,March,2019,Major Property Crime,2782,-8.06,8965,-6.59,3
March 2019,March,2019,Major Violent Crime,647,-6.91,1917,-5.29,3
April 2019,April,2019,Major Property Crime,3194,-3.53,12159,-5.8,4
April 2019,April,2019,Major Violent Crime,716,0.56,2633,-3.76,4
May 2019,May,2019,Major Property Crime,3495,-6.8,15654,-6.03,5
May 2019,May,2019,Major Violent Crime,760,-10.9,3393,-5.46,5
June 2019,June,2019,Major Property Crime,3452,-5.55,19106,-5.94,6
June 2019,June,2019,Major Violent Crime,792,-9.28,4185,-6.21,6
July 2019,July,2019,Major Property Crime,3769,-2.74,22875,-5.43,7
July 2019,July,2019,Major Violent Crime,835,-11.36,5020,-7.11,7
August 2019,August,2019,Major Property Crime,3457,-7.79,26332,-5.75,8
August 2019,August,2019,Major Violent Crime,750,-9.42,5770,-7.41,8
September 2019,September,2019,Major Property Crime,3569,-3.04,29901,-5.43,9
September 2019,September,2019,Major Violent Crime,779,-11.17,6549,-7.88,9
October 2019,October,2019,Major Property Crime,3381,-7.85,33282,-5.68,10
October 2019,October,2019,Major Violent Crime,688,-13.02,7237,-8.39,10
November 2019,November,2019,Major Property Crime,2964,-9.25,36246,-5.98,11
November 2019,November,2019,Major Violent Crime,597,-11.82,7834,-8.66,11
December 2019,December,2019,Major Property Crime,3373,-2.4,39619,-5.69,12
December 2019,December,2019,Major Violent Crime,713,-0.14,8547,-8.01,12
January 2020,January,2020,Major Property Crime,3236,-0.55,3236,-0.55,1
January 2020,January,2020,Major Violent Crime,672,-7.31,672,-7.31,1
February 2020,February,2020,Major Property Crime,3024,3.24,6260,1.25,2
February 2020,February,2020,Major Violent Crime,555,1.83,1227,-3.39,2
March 2020,March,2020,Major Property Crime,2867,3.06,9127,1.81,3
March 2020,March,2020,Major Violent Crime,683,5.56,1910,-0.37,3
April 2020,April,2020,Major Property Crime,2857,-10.55,11984,-1.44,4
April 2020,April,2020,Major Violent Crime,745,4.05,2655,0.84,4
May 2020,May,2020,Major Property Crime,2612,-25.26,14596,-6.76,5
May 2020,May,2020,Major Violent Crime,912,20,3567,5.13,5
June 2020,June,2020,Major Property Crime,3021,-12.49,17617,-7.79,6
June 2020,June,2020,Major Violent Crime,912,15.15,4479,7.03,6
July 2020,July,2020,Major Property Crime,2802,-25.66,20419,-10.74,7
July 2020,July,2020,Major Violent Crime,920,10.18,5399,7.55,7
August 2020,August,2020,Major Property Crime,2934,-15.13,23353,-11.31,8
August 2020,August,2020,Major Violent Crime,936,24.8,6335,9.79,8
September 2020,September,2020,Major Property Crime,2938,-17.68,26291,-12.07,9
September 2020,September,2020,Major Violent Crime,869,11.55,7204,10,9
October 2020,October,2020,Major Property Crime,3074,-9.08,29365,-11.77,10
October 2020,October,2020,Major Violent Crime,871,26.6,8075,11.58,10
November 2020,November,2020,Major Property Crime,3143,6.04,32508,-10.31,11
November 2020,November,2020,Major Violent Crime,802,34.34,8877,13.31,11
December 2020,December,2020,Major Property Crime,3505,3.91,36013,-9.1,12
December 2020,December,2020,Major Violent Crime,807,13.18,9684,13.3,12
January 2021,January,2021,Major Property Crime,3187,-1.51,3187,-1.51,1
January 2021,January,2021,Major Violent Crime,811,20.68,811,20.68,1
February 2021,February,2021,Major Property Crime,2127,-29.66,5314,-15.11,2
February 2021,February,2021,Major Violent Crime,590,6.31,1401,14.18,2
March 2021,March,2021,Major Property Crime,2565,-10.53,7879,-13.67,3
March 2021,March,2021,Major Violent Crime,764,11.86,2165,13.35,3
April 2021,April,2021,Major Property Crime,2365,-17.22,10244,-14.51935915,4
April 2021,April,2021,Major Violent Crime,816,9.53,2981,12.2787194,4
May 2021,May,2021,Major Property Crime,2894,10.8,13138,-9.99,5
